CLM_DTL_ID,CLMT_HIRE_DT,CLMT_JOB_TTL,CLMT_JOB_TYP,CLMT_DISAB_BGN_DT,CLMT_AVG_WKLY_WAGE,WORK_LOC,INDUSTRY,JOB_DESC,WORK_ENVIRONMENT,SUPERVISOR_NAME,REPORTING_CHANNEL,EMPLOYMENT_STATUS
1,2017-03-17,Sales Associate,Full-time,2017-05-28,916.44,Hectorhaven,Transportation,Sales Associate responsible for various operational tasks.,On-site,Jordan Harper,Email,Active
2,2022-12-18,Cashier,Full-time,2023-10-17,2277.0,New Alexandriaton,Finance,Cashier responsible for various operational tasks.,On-site,Amber Gibson,Web,Active
3,2011-07-28,Sales Associate,Full-time,2011-10-22,3244.14,Ingramfort,Construction,Sales Associate responsible for various operational tasks.,On-site,Aaron Marshall,Web,Active
4,2015-02-17,Office Clerk,Full-time,2015-09-27,4435.52,Marshshire,Retail,Office Clerk responsible for various operational tasks.,On-site,Walter Brooks,Web,Active
5,2016-12-28,Office Clerk,Full-time,2017-09-11,3088.13,Tracyville,Retail,Office Clerk responsible for various operational tasks.,On-site,Alyssa Robinson,Web,Active
6,2019-08-12,Warehouse Worker,Full-time,2020-01-04,5509.01,Port Steven,Healthcare,Warehouse Worker responsible for various operational tasks.,On-site,Sara Hickman,Email,Active
7,2024-03-17,Office Clerk,Full-time,2024-09-19,5085.98,South Kimberlychester,Healthcare,Office Clerk responsible for various operational tasks.,On-site,Stacey Santiago,Phone,Active
8,2017-03-05,Warehouse Worker,Full-time,2017-05-02,5147.12,New Devin,Finance,Warehouse Worker responsible for various operational tasks.,On-site,Andre Gomez,Email,Active
9,2006-07-02,Warehouse Worker,Part-time,2007-03-19,3048.28,Trujillohaven,Finance,Warehouse Worker responsible for various operational tasks.,Remote,Sara Murphy,Web,Active
10,2016-06-04,Security Guard,Full-time,2017-03-08,7925.82,Lake Brian,Manufacturing,Security Guard responsible for various operational tasks.,On-site,Austin Best,Email,Active
11,2010-12-25,Nurse,Full-time,2011-09-19,2848.72,Jenniferstad,Healthcare,Nurse responsible for various operational tasks.,On-site,Ms. Pamela Lindsey,Web,Active
12,2006-05-19,Nurse,Full-time,2007-01-14,6759.29,Angelaport,Healthcare,Nurse responsible for various operational tasks.,On-site,Joseph Myers,Email,Active
13,2012-04-23,Warehouse Worker,Full-time,2012-12-28,963.56,East Micheleberg,Retail,Warehouse Worker responsible for various operational tasks.,Hybrid,Gerald Weber,Email,Terminated
14,2012-09-09,Mechanic,Full-time,2013-02-28,3850.36,Port Keithview,Manufacturing,Mechanic responsible for various operational tasks.,On-site,Kristen Spence,Email,Active
15,2018-03-09,Warehouse Worker,Part-time,2018-03-13,6154.01,New Matthewhaven,Manufacturing,Warehouse Worker responsible for various operational tasks.,Hybrid,Mandy Sanchez,Email,Active
16,2010-12-09,Warehouse Worker,Full-time,2011-07-22,7561.5,West Kimberlystad,Retail,Warehouse Worker responsible for various operational tasks.,On-site,Samantha Salazar,Email,Active
17,2010-04-09,Security Guard,Full-time,2010-10-19,6987.22,North Donna,Technology,Security Guard responsible for various operational tasks.,On-site,Corey Morgan,Phone,Active
18,2017-02-24,Software Engineer,Full-time,2017-09-10,2741.43,Darrylton,Hospitality,Software Engineer responsible for various operational tasks.,On-site,Casey Huff,Phone,Terminated
19,2015-08-21,Office Clerk,Full-time,2016-02-25,3065.81,Lopezfort,Retail,Office Clerk responsible for various operational tasks.,On-site,Kara King,Web,Active
20,2018-01-12,Mechanic,Part-time,2018-12-21,4970.61,Carolberg,Construction,Mechanic responsible for various operational tasks.,On-site,Melinda Shelton,Web,Active
21,2022-05-13,Cashier,Full-time,2022-08-21,839.37,Lopezberg,Technology,Cashier responsible for various operational tasks.,On-site,Barbara Reyes,Email,Active
22,2024-03-29,Warehouse Worker,Full-time,2024-07-28,1293.9,Port Tonyaland,Healthcare,Warehouse Worker responsible for various operational tasks.,On-site,Nancy Nguyen,Phone,Active
23,2008-06-13,Nurse,Full-time,2008-12-11,7237.9,South Jason,Healthcare,Nurse responsible for various operational tasks.,On-site,Rebecca Jacobs,Phone,Active
24,2019-03-19,Cashier,Full-time,2019-11-12,2404.53,West Melissa,Hospitality,Cashier responsible for various operational tasks.,On-site,Joseph Liu,Phone,Active
25,2023-12-16,Mechanic,Full-time,2024-11-21,1390.32,West Georgeport,Finance,Mechanic responsible for various operational tasks.,On-site,Daniel Lee,Phone,Active
26,2020-05-29,Cashier,Full-time,2021-01-11,7217.73,Joeport,Manufacturing,Cashier responsible for various operational tasks.,On-site,Victoria Nichols,Web,Active
27,2018-12-16,Sales Associate,Part-time,2019-12-05,1274.49,West James,Manufacturing,Sales Associate responsible for various operational tasks.,On-site,Connor Diaz,Email,Active
28,2010-11-09,Warehouse Worker,Full-time,2011-07-17,6451.78,Scottview,Transportation,Warehouse Worker responsible for various operational tasks.,On-site,Garrett Garza,Email,Active
29,2012-04-05,Mechanic,Full-time,2012-11-07,2300.53,Millermouth,Manufacturing,Mechanic responsible for various operational tasks.,On-site,Anita Ferguson,Email,Active
30,2016-04-04,Security Guard,Part-time,2016-04-08,2136.95,Thomasburgh,Finance,Security Guard responsible for various operational tasks.,Hybrid,Brian Turner,Web,Active
31,2007-08-25,Warehouse Worker,Part-time,2008-04-13,6655.22,New Andrew,Construction,Warehouse Worker responsible for various operational tasks.,Hybrid,Amanda Snyder,Web,Active
32,2010-05-05,Cashier,Full-time,2010-05-07,1135.16,Loriville,Retail,Cashier responsible for various operational tasks.,Remote,Kevin Johnson,Web,Active
33,2013-10-01,Nurse,Part-time,2013-10-07,6677.18,East Jason,Healthcare,Nurse responsible for various operational tasks.,On-site,Pamela Walker,Web,Active
34,2010-12-15,Sales Associate,Part-time,2010-12-15,1074.26,Lake Melissa,Transportation,Sales Associate responsible for various operational tasks.,On-site,Steven Blanchard,Phone,Terminated
35,2012-09-30,Warehouse Worker,Full-time,2012-11-04,3558.11,Susanmouth,Construction,Warehouse Worker responsible for various operational tasks.,On-site,Matthew Mosley,Email,Active
36,2007-06-23,Warehouse Worker,Full-time,2008-03-21,2990.82,Port Robert,Retail,Warehouse Worker responsible for various operational tasks.,On-site,Steven May,Phone,Active
37,2020-02-29,Software Engineer,Full-time,2020-04-12,3632.5,Terrishire,Transportation,Software Engineer responsible for various operational tasks.,On-site,Adam Hernandez,Email,Active
38,2012-05-30,Software Engineer,Full-time,2012-07-18,7538.62,Greenport,Technology,Software Engineer responsible for various operational tasks.,On-site,Joel Campbell,Email,Active
39,2014-07-27,Office Clerk,Full-time,2014-12-04,3524.06,Jonesberg,Hospitality,Office Clerk responsible for various operational tasks.,On-site,Mary Yu,Web,Active
40,2008-07-08,Software Engineer,Full-time,2008-12-30,2415.02,Saraborough,Retail,Software Engineer responsible for various operational tasks.,On-site,Gregory Riggs,Email,Active
41,2006-10-10,Security Guard,Full-time,2007-08-24,3598.79,Brianview,Manufacturing,Security Guard responsible for various operational tasks.,On-site,William Stephens,Phone,Active
42,2021-08-19,Sales Associate,Full-time,2022-05-15,1863.34,Craigshire,Healthcare,Sales Associate responsible for various operational tasks.,On-site,Daniel Case,Phone,Active
43,2012-06-15,Nurse,Full-time,2013-04-25,7094.98,North Zachary,Healthcare,Nurse responsible for various operational tasks.,On-site,Alison Carr,Email,Active
44,2024-08-13,Nurse,Part-time,2024-08-22,2467.57,Jacksonbury,Transportation,Nurse responsible for various operational tasks.,On-site,Eric Anderson,Phone,Active
45,2020-07-26,Warehouse Worker,Full-time,2020-12-06,2874.4,Lake William,Hospitality,Warehouse Worker responsible for various operational tasks.,On-site,Tim Andrews,Email,Active
46,2018-09-07,Warehouse Worker,Full-time,2018-09-12,6357.23,South Rebeccatown,Transportation,Warehouse Worker responsible for various operational tasks.,Remote,Kenneth Bradley,Email,Active
47,2019-09-14,Mechanic,Full-time,2020-03-13,560.44,Patrickville,Hospitality,Mechanic responsible for various operational tasks.,On-site,Patricia Mathews,Phone,Active
48,2007-01-18,Security Guard,Part-time,2007-02-04,4253.58,South Gregoryton,Manufacturing,Security Guard responsible for various operational tasks.,Remote,Kevin Martinez,Email,Active
49,2013-09-09,Cashier,Full-time,2014-01-13,2813.51,Port Kristin,Technology,Cashier responsible for various operational tasks.,On-site,Dustin Mullen,Phone,Active
50,2006-04-23,Nurse,Full-time,2006-09-12,794.52,Robertborough,Healthcare,Nurse responsible for various operational tasks.,On-site,Maria Alexander,Email,Active
51,2013-05-17,Office Clerk,Full-time,2013-09-30,5846.34,Port Alexandra,Hospitality,Office Clerk responsible for various operational tasks.,On-site,David Macdonald,Email,Active
52,2015-01-04,Office Clerk,Part-time,2015-01-23,6653.2,Stacybury,Healthcare,Office Clerk responsible for various operational tasks.,Remote,Kristin Garcia,Web,Active
53,2018-09-24,Mechanic,Part-time,2019-08-02,693.27,Hansenton,Technology,Mechanic responsible for various operational tasks.,Hybrid,Melinda Perez,Phone,Active
