CUST_ID,CUST_TYP,CUST_FRST_NM,CUST_LST_NM,CUST_GENDER,CUST_DOB,CUST_DOD,CUST_ADDR,CUST_CITY,CUST_STATE,CUST_ZIP,CUST_PH_NO,CUST_EMAIL,CUST_TAX_ID,CUST_TAX_ID_TYP
1,Claimant,Christopher,Johnson,Male,1967-09-12,,2972 William Estate Suite 623,Davidbury,VA,89876,4679264667,christopher.johnson@gmail.com,844508396,SSN
2,Claimant,Jessica,Guzman,Male,1973-12-17,,94348 Nathan Summit Apt. 173,Ryanburgh,TX,79537,0013095421,jessica.guzman@gmail.com,194067591,SSN
3,Claimant,Jill,Alexander,Female,1952-11-08,1999-04-28,6743 Larson Junctions Apt. 208,North Michele,NV,57735,1778595689,jill.alexander@gmail.com,702212204,SSN
4,Claimant,Sydney,Garcia,Male,1990-03-23,,9052 Nancy Garden Apt. 393,Baxterside,NY,09925,0017779197,sydney.garcia@gmail.com,684169718,SSN
5,Claimant,Raymond,Snyder,Male,1995-08-07,,3978 Michael Drives,North Karaland,WV,18701,1442565314,raymond.snyder@gmail.com,898244349,SSN
6,Claimant,Aaron,Lee,Male,1954-03-26,1969-07-07,644 Stevens Dam Apt. 448,Jessicaland,TX,75139,3658187696,aaron.lee@gmail.com,628156422,SSN
7,Claimant,Michelle,Pace,Female,1984-02-01,,996 Palmer Squares Suite 399,Stephanieville,VA,32352,6098575706,michelle.pace@gmail.com,839088690,SSN
8,Claimant,Becky,Davis,Female,2005-12-24,,95660 Robbins Ford Apt. 429,West Jaredborough,OH,83197,9785117615,becky.davis@gmail.com,383455085,SSN
9,Claimant,Samantha,Mercado,Male,2003-11-17,,6666 Judy Viaduct Suite 093,East Kelseyport,WA,74960,4648209664,samantha.mercado@gmail.com,782543959,SSN
10,Claimant,Savannah,Davis,Female,1961-12-23,,13582 Calvin Forest,Marshville,FL,83930,9704118192,savannah.davis@gmail.com,399177214,SSN
11,Claimant,Renee,Li,Male,1956-08-21,2013-10-15,018 Gallagher Isle,South Bonnie,VA,44904,1701986463,renee.li@gmail.com,359282532,SSN
12,Claimant,Jennifer,Beard,Male,1939-08-30,1998-01-16,09784 Atkinson Overpass,West Jason,VA,18360,9973404791,jennifer.beard@gmail.com,025878127,SSN
13,Claimant,Nicholas,Mcgee,Male,1995-03-02,,7577 Miller Radial,Lake Andrea,NY,39770,4997915152,nicholas.mcgee@gmail.com,039012975,SSN
14,Claimant,Sean,Scott,Female,2006-08-30,,08468 Pearson Manor Suite 635,Anthonybury,VA,81716,4506885529,sean.scott@gmail.com,473452022,SSN
15,Claimant,Sergio,Swanson,Female,1979-09-02,,2149 Cook Viaduct,North Nathanshire,WA,95007,9076216879,sergio.swanson@gmail.com,508356391,SSN
16,Claimant,Alexandra,Taylor,Male,1967-11-01,,4504 Rachel Stravenue,Port Jessica,VA,91750,1275234154,alexandra.taylor@gmail.com,772205432,SSN
17,Claimant,Patricia,Crawford,Other,1977-09-21,,09182 Jenna Trafficway Suite 541,New Karinaborough,WV,11573,0018374422,patricia.crawford@gmail.com,371197950,SSN
18,Claimant,Steven,Sanchez,Female,1993-09-22,,4250 Alexander Center Suite 520,East Lori,FL,82841,5703747769,steven.sanchez@gmail.com,852466562,SSN
19,Claimant,Heather,Singh,Female,1961-11-04,,62003 Diaz Light Apt. 087,South Samuel,MA,88269,0015236104,heather.singh@gmail.com,054836243,SSN
20,Claimant,Dennis,Williams,Female,1972-06-11,,364 Brown Cape,Brianside,OH,15489,6304310789,dennis.williams@gmail.com,489188977,SSN
21,Claimant,Andrew,Lucero,Male,1975-05-06,,3069 Rogers Ridges,West Jamesberg,VA,98904,4686147127,andrew.lucero@gmail.com,579121651,SSN
22,Claimant,Anthony,Jacobs,Male,1984-10-27,,027 Wilson Road Apt. 898,South Sabrina,WV,91665,3838128888,anthony.jacobs@gmail.com,305994469,SSN
23,Claimant,Olivia,Jennings,Female,1946-06-17,1978-09-26,6100 Dominguez Centers,Lake Erinberg,CA,97141,9004759168,olivia.jennings@gmail.com,176460542,SSN
24,Claimant,Stephen,Harris,Male,1999-11-30,,39721 Reyes Highway,South Katherinemouth,NV,77925,4588433683,stephen.harris@gmail.com,682291490,SSN
25,Claimant,Claudia,Roman,Female,1945-07-25,2004-05-11,0091 Gonzalez Cliffs Apt. 042,East Emily,TX,45936,6857081879,claudia.roman@gmail.com,170328133,SSN
26,Claimant,Christopher,Guerrero,Female,1993-04-04,,967 Lynn Glens,Camachobury,CA,07550,7139783479,christopher.guerrero@gmail.com,075495915,SSN
27,Claimant,Regina,Webb,Male,1969-04-17,,38313 Timothy Estate,New Nicoleberg,TX,09564,8098427328,regina.webb@gmail.com,775128114,SSN
28,Claimant,Pamela,Ross,Female,1956-03-23,2018-04-14,0134 Tonya View Apt. 237,Nancybury,MI,60069,9089508425,pamela.ross@gmail.com,844521232,SSN
29,Claimant,Kevin,Price,Female,1956-04-23,1975-09-16,0162 Joshua Mountains Apt. 567,Robertborough,VA,49790,3355306870,kevin.price@gmail.com,845630745,SSN
30,Claimant,Angela,Mcguire,Male,1987-12-04,,2012 Nguyen Radial,West Nathan,MI,82612,3858017597,angela.mcguire@gmail.com,480688716,SSN
31,Claimant,Amanda,Moran,Female,1982-11-24,,748 Paul Point Apt. 180,Lake Paul,WV,28432,0019954704,amanda.moran@gmail.com,542684058,SSN
32,Claimant,Nicholas,Sherman,Male,1981-01-05,,17347 Dana Circles Suite 284,Lake Christina,MA,92496,9855466547,nicholas.sherman@gmail.com,744532214,SSN
33,Claimant,Donna,Myers,Male,1994-01-01,,319 Perez Expressway,Justinton,MI,56808,5738231638,donna.myers@gmail.com,337331581,SSN
34,Claimant,Jeremy,Crawford,Female,1950-02-04,1967-08-05,84285 Cynthia Squares Suite 411,Johnsonchester,NJ,91556,4888378190,jeremy.crawford@gmail.com,762995071,SSN
35,Claimant,Daisy,Myers,Male,1950-01-19,1995-07-09,5090 Atkinson Isle,Lake Michelemouth,MA,05611,8446916773,daisy.myers@gmail.com,166901990,SSN
36,Claimant,James,Mora,Female,2003-04-28,,540 Reilly Spur Apt. 831,Westland,NV,24011,0018907241,james.mora@gmail.com,309650865,SSN
37,Claimant,William,Hart,Male,1976-11-05,,7158 Evans Terrace Apt. 156,Vegaton,NY,65888,1628524007,william.hart@gmail.com,057062799,SSN
38,Claimant,Michael,Walter,Male,2001-09-29,,1518 Eric Drive,New Rebeccastad,NJ,98710,5883470791,michael.walter@gmail.com,894875855,SSN
39,Claimant,Cody,Fitzgerald,Male,1996-04-18,,563 Cassandra Light,Dominiquemouth,MA,47428,4168487690,cody.fitzgerald@gmail.com,608579708,SSN
40,Claimant,James,Mcconnell,Female,1990-11-15,,92005 Peters Bridge,West Vanessaborough,OH,17083,1627664715,james.mcconnell@gmail.com,693862820,SSN
41,Claimant,Stacey,Larson,Female,1989-03-24,,74846 Ramirez Squares Suite 221,Andrewtown,VA,77325,6434138925,stacey.larson@gmail.com,753429774,SSN
42,Claimant,Cheryl,Thomas,Female,1940-07-27,1946-03-30,955 Elizabeth Prairie Suite 532,Aaronborough,MI,62872,8322619390,cheryl.thomas@gmail.com,248054536,SSN
43,Claimant,Karen,Hester,Male,1962-08-22,,7411 Ashley Fields Apt. 097,South Jeffreyberg,WA,13931,6683239377,karen.hester@gmail.com,877487831,SSN
